sigun_nm,str_nm,bizregno,refine_road_nm_addr,refine_lotno_addr,indutype_cont,refine_zipno,refine_wgs84_lat,refine_wgs84_logt
수원시,루이스샐러드 신동,7532301418,경기도 수원시 영통구 권선로882번길 65-17,경기도 수원시 영통구 신동 928-4번지 1층 101호,피자·양식,16683,37.2473752,127.0427753
수원시,배스킨라빈스 수원경희대점,6730201723,경기도 수원시 영통구 덕영대로 1689,경기도 수원시 영통구 영통동 1024-1번지 1층 일부호,"카페,프랜차이즈",16702,37.2479857,127.0760346
수원시,셀커피,3762700447,경기도 수원시 영통구 봉영로1770번길 21,"경기도 수원시 영통구 영통동 1054-3번지 신명.한국아파트 1층 104,105호",카페,16713,37.2684403,127.084176
수원시,던킨 수원신영통점,1243095310,경기도 수원시 영통구 영통로 124,경기도 수원시 영통구 망포동 542-11번지 던킨 수원신영통점,"카페,프랜차이즈",16692,37.2388914,127.0565698
수원시,파리바게뜨 수원경희대점,1154800468,경기도 수원시 영통구 덕영대로 1705,경기도 수원시 영통구 영통동 1024-10번지 일송프라자 1층 103호,"카페,프랜차이즈",16702,37.2479652,127.0778501
수원시,할리스 수원망포점,2118761044,경기도 수원시 영통구 덕영대로1556번길 16,"경기도 수원시 영통구 영통동 980-3번지 125,126,127,212허","카페,프랜차이즈",16690,37.2449526,127.0599958
수원시,뉴욕야시장 영통역점,6692401008,경기도 수원시 영통구 청명남로 25,경기도 수원시 영통구 영통동 998-7번지 2층 209호,한식,16704,37.2524069,127.0747357
수원시,숯불꼬치전문 유다,1352426151,경기도 수원시 영통구 영통로218번길 56,경기도 수원시 영통구 영통동 974-4번지 숯불꼬치전문유다,일식·돈까스,16698,37.2468287,127.0603232
수원시,역전할머니맥주 원천동점,2664500751,경기도 수원시 영통구 중부대로448번길 23,경기도 수원시 영통구 원천동 223번지 1층,"프랜차이즈,한식",16520,37.2682742,127.0630971
수원시,오비라거 곡반정점,4997600296,경기도 수원시 권선구 곡선로50번길 14-7,경기도 수원시 권선구 곡반정동 569-6번지 정석빌딩 오비라거 곡반정점,한식,16671,37.238208,127.0289747
수원시,아빠야 샤브바,1352475157,경기도 수원시 영통구 매탄로100번길 17,경기도 수원시 영통구 매탄동 1263-4번지 우영프라자II 107호,아시안,16545,37.2596127,127.0442125
수원시,삼미통닭 곡반정점,1350288892,경기도 수원시 권선구 동수원로146번길 281-25,경기도 수원시 권선구 곡반정동 548번지 권선신일유토빌 112동 102호,치킨,16670,37.2404101,127.02966
수원시,마조치킨수원점,2772100809,경기도 수원시 영통구 삼성로168번길 27,"경기도 수원시 영통구 매탄동 436-39번지 1,2층",치킨,16676,37.2586104,127.0580105
수원시,양씨부엌,2060699234,경기도 수원시 영통구 영통로112번길 30,경기도 수원시 영통구 망포동 540-5번지 나눔빌딩 1층 5호,족발·보쌈,16692,37.2392342,127.0566242
수원시,고단백참치&한우육회&연어,5953301543,경기도 수원시 장안구 연무로42번길 46,경기도 수원시 장안구 연무동 215-9번지 고단백참치,일식·돈까스,16215,37.2968139,127.0282936
수원시,치폴리니 수원점,2881502602,경기도 수원시 영통구 동수원로286번길 7-17,경기도 수원시 영통구 매탄동 1181번지 2층,"카페,프랜차이즈",16549,37.2556357,127.03676
수원시,닭장맥주 수원인계점,4422501832,경기도 수원시 팔달구 권광로180번길 53-12,경기도 수원시 팔달구 인계동 1121-3번지 1층 101호 닭장맥주 수원인계점,"치킨,프랜차이즈,픽업",16488,37.2634456,127.035449
수원시,웨이컬리,2482601902,경기도 수원시 영통구 매탄로79번길 5-1,경기도 수원시 영통구 매탄동 1272-1번지 1층 웨이컬리,"카페,픽업",16546,37.2580898,127.0419888
수원시,교동찜닭 호매실점,4530803089,경기도 수원시 권선구 금곡로140번길 95-120,경기도 수원시 권선구 호매실동 1345-1번지 102호,"찜·탕,프랜차이즈,픽업",16387,37.2690916,126.9441807
수원시,스시공간,1486000723,경기도 수원시 장안구 정자로 39,경기도 수원시 장안구 천천동 481-5번지 1층 스시공간,"일식·돈까스,픽업",16323,37.3008531,126.9811373
